625,418,643,418,643,500,625,500
618,506,650,506,650,668,618,668
668,506,718,506,718,568,668,568
1475,518,1512,518,1512,637,1475,637
1518,518,1550,518,1550,637,1518,637
1231,525,1262,525,1262,606,1231,606
1550,525,1587,525,1587,662,1550,662
1287,531,1331,531,1331,606,1287,606
1406,550,1475,550,1475,606,1406,606
681,575,718,575,718,662,681,662
2262,579,2286,581,2276,720,2252,718
2582,605,2607,606,2598,776,2573,774
2612,606,2637,606,2637,662,2612,662
2675,612,2700,612,2700,681,2675,681
1225,631,1262,631,1262,731,1225,731
1176,636,1214,637,1205,832,1167,830
1080,655,1119,656,1105,938,1066,937
675,658,714,662,704,766,665,762
614,667,643,669,624,939,595,937
718,662,768,662,768,718,718,718
2637,675,2662,675,2662,775,2637,775
1462,731,1581,731,1581,800,1462,800
1418,743,1450,743,1450,787,1418,787
1618,750,1656,750,1656,806,1618,806
2225,743,2287,743,2287,887,2225,887
2700,748,2724,750,2716,876,2692,874
3037,743,3137,743,3137,812,3037,812
1281,756,1318,756,1318,831,1281,831
3000,756,3031,756,3031,812,3000,812
3256,756,3293,756,3293,837,3256,837
1218,768,1250,768,1250,831,1218,831
2604,780,2630,781,2602,1257,2576,1255
3176,779,3211,781,3149,1907,3114,1905
3306,781,3343,781,3343,825,3306,825
2569,786,2598,787,2571,1301,2542,1299
2668,793,2687,793,2687,856,2668,856
2993,806,3025,806,3025,868,2993,868
3300,825,3343,825,3343,925,3300,925
3256,831,3293,831,3293,931,3256,931
900,837,918,837,918,875,900,875
1393,862,1456,862,1456,931,1393,931
1456,862,1568,862,1568,931,1456,931
2631,868,2656,868,2656,956,2631,956
894,878,930,882,920,972,884,968
1275,875,1306,875,1306,956,1275,956
2687,881,2712,881,2712,962,2687,962
2661,892,2684,893,2674,1094,2651,1093
843,917,882,919,867,1251,828,1249
594,942,624,944,594,1439,564,1437
2281,937,2312,937,2312,1000,2281,1000
2244,941,2274,944,2264,1064,2234,1061
886,967,922,969,912,1145,876,1143
2625,962,2656,962,2656,1025,2625,1025
2981,962,3018,962,3018,1006,2981,1006
655,972,695,975,680,1140,640,1136
706,972,752,975,741,1170,695,1168
1065,972,1103,975,1086,1264,1048,1262
1404,973,1440,975,1431,1108,1395,1105
1450,968,1568,968,1568,1050,1450,1050
3018,968,3125,968,3125,1037,3018,1037
1606,987,1643,987,1643,1056,1606,1056
2981,1000,3006,1000,3006,1093,2981,1093
2622,1029,2646,1031,2637,1151,2613,1149
2185,1048,2220,1050,2208,1307,2172,1306
975,1054,1004,1057,990,1251,961,1249
2502,1086,2531,1087,2520,1307,2491,1306
1152,1092,1190,1094,1177,1351,1138,1349
2819,1092,2847,1093,2837,1313,2809,1312
2231,1100,2256,1100,2256,1250,2231,1250
2275,1100,2293,1100,2293,1156,2275,1156
2675,1106,2700,1106,2700,1231,2675,1231
487,1112,512,1112,512,1262,487,1262
3387,1110,3426,1112,3404,1482,3366,1480
3283,1116,3327,1119,3316,1302,3272,1299
1218,1125,1256,1125,1256,1168,1218,1168
878,1141,907,1143,899,1245,870,1243
3238,1135,3276,1137,3267,1289,3229,1287
1218,1167,1254,1168,1244,1351,1209,1349
1375,1156,1443,1156,1443,1218,1375,1218
1450,1162,1481,1162,1481,1218,1450,1218
1481,1162,1518,1162,1518,1218,1481,1218
2612,1162,2637,1162,2637,1237,2612,1237
1518,1168,1556,1168,1556,1225,1518,1225
453,1173,482,1175,469,1413,439,1412
1600,1175,1631,1175,1631,1225,1600,1225
2968,1200,3006,1200,3006,1250,2968,1250
3006,1200,3075,1200,3075,1281,3006,1281
3075,1206,3106,1206,3106,1243,3075,1243
512,1237,537,1237,537,1350,512,1350
2675,1236,2696,1237,2689,1357,2667,1355
3075,1237,3106,1237,3106,1281,3075,1281
2969,1242,2998,1244,2990,1363,2961,1362
2612,1250,2631,1250,2631,1306,2612,1306
2575,1254,2602,1256,2592,1451,2565,1449
484,1267,508,1269,499,1382,475,1380
1387,1281,1418,1281,1418,1356,1387,1356
1437,1281,1475,1281,1475,1350,1437,1350
1481,1281,1512,1281,1512,1325,1481,1325
1518,1281,1550,1281,1550,1325,1518,1325
1556,1287,1587,1287,1587,1337,1556,1337
1587,1287,1625,1287,1625,1356,1587,1356
2540,1305,2568,1306,2552,1588,2525,1587
1475,1312,1512,1312,1512,1368,1475,1368
2256,1312,2281,1312,2281,1475,2256,1475
2606,1312,2631,1312,2631,1368,2606,1368
1512,1318,1550,1318,1550,1362,1512,1362
506,1356,531,1356,531,1431,506,1431
2664,1355,2689,1356,2680,1569,2655,1568
2218,1362,2250,1362,2250,1443,2218,1443
2962,1368,2993,1368,2993,1431,2962,1431
679,1372,727,1375,714,1565,667,1561
2631,1375,2656,1375,2656,1487,2631,1487
2600,1381,2625,1381,2625,1431,2600,1431
3275,1379,3315,1381,3305,1551,3265,1549
